NAME,TYPE,LOCATION,RESOURCE LINK
"basicNsgvnet-api-nic01","Network security group","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/networkSecurityGroups/basicNsgvnet-api-nic01"
"DeployExtension-20260223191406","Deployment Script","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Resources/deploymentScripts/DeployExtension-20260223191406"
"ilb-api","Load balancer","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/loadBalancers/ilb-api"
"law-rg-s03","Log Analytics workspace","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.OperationalInsights/workspaces/law-rg-s03"
"nsg-backend","Network security group","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/networkSecurityGroups/nsg-backend"
"s03storage123","Storage account","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Storage/storageAccounts/s03storage123"
"vm-test","Virtual machine","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Compute/virtualMachines/vm-test"
"vm-test-ip-8c39a9f1","Public IP address","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/publicIPAddresses/vm-test-ip-8c39a9f1"
"vm-test-nsg","Network security group","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/networkSecurityGroups/vm-test-nsg"
"vm-test783-8c39a9f1","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/networkInterfaces/vm-test783-8c39a9f1"
"vm-test_OsDisk_1_649aa2beec5644189925dc1c4ab1b9df","Disk","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/RG-S03-API/providers/Microsoft.Compute/disks/vm-test_OsDisk_1_649aa2beec5644189925dc1c4ab1b9df"
"vmss-api","Virtual machine scale set","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Compute/virtualMachineScaleSets/vmss-api"
"vnet-api","Virtual network","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s03-api/providers/Microsoft.Network/virtualNetworks/vnet-api"
