NAME,TYPE,LOCATION,RESOURCE LINK
"afw-hub-s04","Firewall","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/azureFirewalls/afw-hub-s04"
"afw-policy-s04","Firewall Policy","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/firewallPolicies/afw-policy-s04"
"ASP-rgs04zerotrust-96a9","App Service plan","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Web/serverFarms/ASP-rgs04zerotrust-96a9"
"db-s04","SQL database","North Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Sql/servers/sql-s04-server/databases/db-s04"
"kv-s04","Key vault","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.KeyVault/vaults/kv-s04"
"pe-sql-s04","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateEndpoints/pe-sql-s04"
"pe-sql-s04-nic","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/networkInterfaces/pe-sql-s04-nic"
"pe-stors04-blob","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateEndpoints/pe-stors04-blob"
"pe-stors04-blob-nic","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/networkInterfaces/pe-stors04-blob-nic"
"pip-afw-hub-s04","Public IP address","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/publicIPAddresses/pip-afw-hub-s04"
"privatelink.azurewebsites.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateDnsZones/privatelink.azurewebsites.net"
"privatelink.blob.core.windows.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateDnsZones/privatelink.blob.core.windows.net"
"privatelink.database.windows.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateDnsZones/privatelink.database.windows.net"
"privatelink.vaultcore.azure.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/privateDnsZones/privatelink.vaultcore.azure.net"
"rt-spoke-s04","Route table","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Network/routeTables/rt-spoke-s04"
"sql-s04-server","SQL server","North Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Sql/servers/sql-s04-server"
"stors04","Storage account","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s04-zero-trust/providers/Microsoft.Storage/storageAccounts/stors04"
