NAME,TYPE,LOCATION,RESOURCE LINK
"db-s05","SQL database","North Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Sql/servers/sql-s05-server/databases/db-s05"
"kv-s05","Key vault","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.KeyVault/vaults/kv-s05"
"mi-s05-app","Managed Identity","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.ManagedIdentity/userAssignedIdentities/mi-s05-app"
"pe-kv-s05","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/microsoft.network/privateendpoints/pe-kv-s05"
"pe-kv-s05.nic.a290be7f-bc25-48ef-b908-b9b8f41ec28d","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/networkInterfaces/pe-kv-s05.nic.a290be7f-bc25-48ef-b908-b9b8f41ec28d"
"pe-sql-s05","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/privateEndpoints/pe-sql-s05"
"pe-sql-s05-nic","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/networkInterfaces/pe-sql-s05-nic"
"pe-stors05-blob","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/privateEndpoints/pe-stors05-blob"
"pe-stors05-blob.nic.3afaeb96-4f6e-464f-890d-5f60a40bcec8","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/networkInterfaces/pe-stors05-blob.nic.3afaeb96-4f6e-464f-890d-5f60a40bcec8"
"privatelink.blob.core.windows.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/privateDnsZones/privatelink.blob.core.windows.net"
"privatelink.database.windows.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/privateDnsZones/privatelink.database.windows.net"
"privatelink.vaultcore.azure.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/privateDnsZones/privatelink.vaultcore.azure.net"
"sql-s05-server","SQL server","North Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Sql/servers/sql-s05-server"
"stors05","Storage account","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Storage/storageAccounts/stors05"
"vnet-data","Virtual network","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/virtualNetworks/vnet-data"
"vnet-data-bastion","Bastion","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/bastionHosts/vnet-data-bastion"
"vnet-data-IPv4","Public IP address","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-s05-data-platform/providers/Microsoft.Network/publicIPAddresses/vnet-data-IPv4"
