NAME,TYPE,LOCATION,RESOURCE LINK
"db-core","SQL database","North Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Sql/servers/sql-rg-core-server/databases/db-core"
"kv-core-rg","Key vault","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.KeyVault/vaults/kv-core-rg"
"mi-core-app","Managed Identity","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.ManagedIdentity/userAssignedIdentities/mi-core-app"
"nsg-app-subnet","Network security group","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/networkSecurityGroups/nsg-app-subnet"
"pe-kv-core","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/privateEndpoints/pe-kv-core"
"pe-kv-core-nic","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/networkInterfaces/pe-kv-core-nic"
"pe-sql-core","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/privateEndpoints/pe-sql-core"
"pe-sql-core-nic","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/networkInterfaces/pe-sql-core-nic"
"pe-st-core-blob","Private endpoint","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/privateEndpoints/pe-st-core-blob"
"pe-st-core-blob-nic","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/networkInterfaces/pe-st-core-blob-nic"
"privatelink.blob.core.windows.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/privateDnsZones/privatelink.blob.core.windows.net"
"privatelink.database.windows.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/privateDnsZones/privatelink.database.windows.net"
"privatelink.vaultcore.azure.net","Private DNS zone","Global","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/privateDnsZones/privatelink.vaultcore.azure.net"
"sql-rg-core-server","SQL server","North Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Sql/servers/sql-rg-core-server"
"stcores06","Storage account","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Storage/storageAccounts/stcores06"
"vm-core-app","Virtual machine","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Compute/virtualMachines/vm-core-app"
"vm-core-app54","Network Interface","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/networkInterfaces/vm-core-app54"
"vm-core-app_disk1_14c1706aea1345d2984887ef3ac3f71f","Disk","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/RG-CORE/providers/Microsoft.Compute/disks/vm-core-app_disk1_14c1706aea1345d2984887ef3ac3f71f"
"vnet-core","Virtual network","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/virtualNetworks/vnet-core"
"vnet-core-bastion","Bastion","West Europe","https://portal.azure.com#resource/subscriptions/890f64ef-3922-400d-9556-def4c79f9bab/resourceGroups/rg-core/providers/Microsoft.Network/bastionHosts/vnet-core-bastion"
